Price,Open,High,Low,Vol,Change %
18100.41000,18085.91000,18137.12000,18064.50000,75.06100,0.00080
18086.45000,18117.58000,18121.12000,18032.06000,106.51500,-0.00190
18120.25000,18078.16000,18131.61000,18065.33000,85.03500,0.00390
18050.17000,18053.38000,18090.39000,18010.15000,80.46700,-0.00020
18053.58000,17974.61000,18072.82000,17956.17000,76.74800,0.00420
17977.68000,17787.27000,17987.57000,17787.27000,86.38800,0.01220
17760.41000,17561.12000,17797.49000,17561.12000,85.80100,0.01210
17548.62000,17530.38000,17764.85000,17530.38000,100.52200,0.00190
17515.42000,17759.01000,17759.01000,17496.22000,69.83200,-0.01470
17776.91000,17684.92000,17793.45000,17465.68000,105.84100,0.00530
17683.58000,17728.08000,17734.36000,17564.36000,90.13800,-0.00260
17730.11000,17763.32000,17825.49000,17687.52000,83.10100,-0.00160
17757.91000,17638.12000,17801.83000,17638.12000,87.01100,0.00790
17619.51000,17599.96000,17714.66000,17576.50000,126.46100,0.00130
17596.35000,17936.74000,17936.74000,17590.55000,116.34500,-0.01950
17946.68000,17892.03000,18013.15000,17892.03000,158.12800,0.00310
17890.36000,17977.11000,18036.10000,17890.36000,78.99600,-0.00420
17966.07000,18139.10000,18139.10000,17966.07000,104.98700,-0.00980
18144.07000,18121.78000,18188.81000,18108.10000,75.97700,0.00130
18119.78000,18027.63000,18181.67000,18027.63000,77.78800,0.00580
18015.95000,18116.24000,18117.71000,18010.58000,258.30500,-0.00550
18115.84000,17944.61000,18174.73000,17944.61000,94.46400,0.01000
17935.74000,17909.58000,17998.00000,17839.65000,92.41400,0.00170
17904.48000,17787.43000,17919.62000,17774.12000,77.51800,0.00640
17791.17000,17890.76000,17890.76000,17698.42000,91.92700,-0.00600
17898.84000,18035.83000,18035.83000,17857.07000,83.76400,-0.00780
18039.37000,18001.27000,18109.77000,18001.27000,89.49700,0.00220
18000.40000,17765.38000,18045.14000,17765.38000,96.98000,0.01330
17764.04000,17766.95000,17817.83000,17714.97000,90.55400,-0.00010
17766.55000,17849.46000,17852.35000,17760.61000,86.30500,-0.00460
17849.46000,17905.38000,17940.78000,17822.90000,89.14600,-0.00310
17905.58000,18072.47000,18087.15000,17876.95000,93.47800,-0.00940
18076.27000,18018.42000,18168.09000,18010.42000,73.12700,0.00360
18011.94000,18033.33000,18091.87000,17925.33000,77.55400,-0.00160
18040.37000,18017.82000,18105.83000,17982.06000,85.64700,0.00160
18010.68000,18128.12000,18128.12000,17967.74000,139.81800,-0.00640
